#Aplicación Presupuetaria,Programa,,Fecha,CIF,Tercero,Concepto,Importe
Energía eléctrica,340,22100,2014-07-09,A81948077,ENDESA ENERGIA S.A.U.,Facturacion Junio 2014-Codigo Agrupacion 1412640,12293.17
Energía eléctrica,920,22100,2014-07-09,B82846825,ENDESA ENERGIA XXI S.L.,Facturacion Junio 2014-Codigo Agrupacion 0378541,90.19
Energía eléctrica,920,22100,2014-07-09,B82846825,ENDESA ENERGIA XXI S.L.,Facturacion junio 2014-Codigo Agrupacion 0615954,178.23
Informáticas,920,22203,2014-07-09,A82018474,"TELEFONICA DE ESPAÑA, S.A.U.","Cuota Conexion Servicio y Equi po-Congreso Ciudades Digitales  en C.Civico la Camella, el 13  y 14 marzo, linea 922721989",257.33
Informáticas,920,22203,2014-07-09,A82018474,"TELEFONICA DE ESPAÑA, S.A.U.","Cuota Conexion Servicio y Equi po-Congreso Ciudades Digitales  en C.Civico la Camella, el 13  y 14 marzo, linea 922725801",772.34
Repar. conserv. y man. elementos de transporte,132,21400,2014-07-09,B76629948,MDT REPARACION E INSTLACION DE MAQUINARIA DE TALLER,Kit de Valvulas Policia Local,169.06
Postales,920,22201,2014-07-10,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 10/07 /2014, Multas 602",7.63
Postales,920,22201,2014-07-10,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 10/07 /2014, Multas 605",92.99
Postales,920,22201,2014-07-10,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 10/07 /2014, Rentas 604",73.53
Promoción Sanidad y Consumo,311,22617,2014-07-10,B76546225,"MAC IMPRESIONS, S.L.",Pegatina A5- Carrera por la Vi da 2014- Sanidad,217.33
Tributos de las Entidades Locales,161,22502,2014-07-10,Q8850002J,CONSEJO INSULAR DE AGUAS DE TENERIFE,Servicio Junio 2014 Depuracion  y Vertido,130863.94
Tributos de las Entidades Locales,161,22502,2014-07-10,Q8850002J,CONSEJO INSULAR DE AGUAS DE TENERIFE,Servicio Junio 2014 Desalacion,231927.53
Aguas depuradas para riego,161,22114,2014-07-11,Q3800517I,BALTEN BALSAS DE TENERIFE,"3º Bimestre 2014, Consumo Agua  Depurada, Ctra las Rosas 1, L ectura: 15799-15900",51.63
Aguas depuradas para riego,161,22114,2014-07-11,Q3800517I,BALTEN BALSAS DE TENERIFE,"3º Bimestre 2014, Consumo Agua  Depurada, Enlace de Guaza,Lec tura: 2167-2378",107.86
Aguas depuradas para riego,161,22114,2014-07-11,Q3800517I,BALTEN BALSAS DE TENERIFE,"3º Bimestre 2014, Consumo Agua  Depurada, Guargacho Bajo, Lec tura: 18704-18758",27.6
Aguas depuradas para riego,161,22114,2014-07-11,Q3800517I,BALTEN BALSAS DE TENERIFE,"3ºBimestre 2014, Consumo Agua  Depurada en El Mojon,Lectura: 1111011-1137430",13315.18
Aguas depuradas para riego,161,22114,2014-07-11,Q3800517I,BALTEN BALSAS DE TENERIFE,"3ºBimestre 2014, Consumo Agua Depurada, Palm Mar, Lectura: 4 06212-407511",664.05
Mantenimiento Cámaras de Seguridad,130,21305,2014-07-11,B82929951,TECHCO SEGURIDAD S.L.,Mano de obra por reparacion en  Colegios del Control Horario por Elecciones,316.21
Plan de Promoción Económica,433,22614,2014-07-11,B38381695,ANTONIA TACORONTE E HIJOS S.L.,"Gasoil, Arona en colores",613.86
Repar. conserv. y man. elementos de transporte,132,21400,2014-07-11,B38905774,FRANELIPAL S.L.,"Desmontar Moto Completa, Repar ar Plasticos ,Scotter 9150-FZW",652.7
Actividades Partiicipación Ciudanana,924,22609,2014-07-14,A28010478,IMESAPI S.A.,Trabajos Colectivos desde la P articipacion,467.94
Actividades Partiicipación Ciudanana,924,22609,2014-07-14,B76603042,PARTY HOBBY S.L.,Montaje 20 Carpas para Trabajo s Colectivos desde la particip acion 5 y 6 de julio 2014,1605
Estudios y trabajos técnicos,150,22706,2014-07-14,B38559902,"PLACA ARQUITECTOS, S.L.","Proyecto Conexion Peatonal Mon taña Fria con Arona Casco, Exp te 14/10-cspsv",20000
Productos alimenticios,920,22105,2014-07-14,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1 Cuota Servicio, 2 Botellones  Agua-Concejalia de Obras e In fraestructura",24.63
Productos alimenticios,920,22105,2014-07-14,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1 Cuota Servicio, 2 Botellones  Agua-Medio Ambiente",24.63
Productos alimenticios,920,22105,2014-07-14,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1 Cuota Servicio, 2Botellones , 1Caja Vasos-Cementerio",37.88
Productos alimenticios,920,22105,2014-07-14,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1 Cuota Servicio, 3Botellones Agua-Alcaldia",31.02
Productos alimenticios,920,22105,2014-07-14,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1 Cuota Servicio,15 Botellones  ,2Cajas Vasos-Policia Arona",131.82
Productos alimenticios,920,22105,2014-07-14,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1 Cuota Servicio,17 Botellones  Agua y 2 Caja de Vasos-Sac",138.12
Productos alimenticios,920,22105,2014-07-14,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1 Cuota Servicio,18 Botellones  Agua,2 Caja Vasos-Plusvalia",144.12
Productos alimenticios,920,22105,2014-07-14,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1 Cuota Servicio,2 Botellones Agua-Archivo",24.63
Productos alimenticios,920,22105,2014-07-14,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1 Cuota Servicio,3Botellones A gua-Recaudacion",31.02
Productos alimenticios,920,22105,2014-07-14,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1 Cuota Servicio,3Botellones-U rbanismos",31.02
Productos alimenticios,920,22105,2014-07-14,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1 Cuota Servicio,9 Botellones Agua y 2 Caja Vasos-Informatic a",93.54
Productos alimenticios,920,22105,2014-07-14,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",1 Cuota Servicio-Juventud,9.63
Productos alimenticios,920,22105,2014-07-14,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",3 Botellones de 11 litros-Alca ldia office,11.55
"Suministros de repuestos de maquinaria, utillaje",130,22111,2014-07-14,B38233912,SERVICIOS E LEON S.L.,Reparacion VehIculo 6212-DWD,141.4
Energía eléctrica,920,22100,2014-07-15,B82846825,ENDESA ENERGIA XXI S.L.,"Consumo Verona ,Asomada Moto B omba, Periodo28/04/14-03/06/14",46.55
Postales,920,22201,2014-07-15,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 15/07 /2014, Multas 607",42.05
Postales,920,22201,2014-07-15,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 15/07 /2014, Plusvalia 606",7.96
Postales,920,22201,2014-07-15,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,Servicio Correspondencia 15/07 /2014-Rentas ENI0414R,45.65
Publicidad y Propaganda,920,22602,2014-07-15,A38011623,CANARIA DE AVISOS S.A.,"Publicacion en Diario de Aviso s, el 15/7/14,Deposito Municip al Vehiculos, pag10",539.28
Atenciones protocolarias y representativas,912,22601,2014-07-16,B38454781,DRAYCA SUR SERVICIOS S.L.,"Cuadro Pintadera Canaria""Encue ntro con Miguel Angel Revilla""  Son Atlantico 2014",50
Ordinario no inventariable,931,22000,2014-07-16,B38844320,LITOGRAFIA SANTA ELENA S.L.,50 Talones de 50 hojas c/u pol izas de 3 euros en P.Adhesivo Troq- Tesoreria,193.56
Postales,920,22201,2014-07-16,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,RNDO. IMPORTE FACTURA Nº 14000 608. Catastro,14
Productos alimenticios,920,22105,2014-07-16,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1 Cuota Servicio, 2 Botellones  Agua-Sac las Galletas",24.63
"Reuniones, conferencia y cursos",924,22606,2014-07-16,B38460713,AREA RURAL TEGUESTE SLU,"Programa de Acciones Fomativas  Escuela Formacion Ciudadana d el Municipio Arona 2014-Taller  4 ""Voluntariado VS Paternalis",267.5
Inversiones en la Red de Agua,452,60610,2014-07-17,A76624345,CANARAGUA CONCESIONES S.A.,Cambio Acometida en Av. Arquit ecto Gomez Cuesta 20 Hacienda y Siete Islas 2 (Iglesia) Play a de las Américas.,2555.45
"Prensa, revistas, libros y otros",931,22001,2014-07-17,G62771498,FUNDACION DEMOCRACIA Y GOBIERNO LOCAL,"Q160-Suscripcion 2014 ""Cuadern os Derechos Local"" Num.34,35 y  36",36.54
Servicio Mantenimiento Jardines Municipales,171,22741,2014-07-17,U76535509,UTE ZONAS VERDES ARONA,Servicio Junio 2014 Gestion Zo nas Verdes de Arona,362294.64
Servicio Mantenimiento Jardines Municipales,171,22741,2014-07-17,U76535509,UTE ZONAS VERDES ARONA,Servicio Mayo 2014 Gestion de Zonas Verdes de Arona,377179.31
Servicios de Recaudación,931,22708,2014-07-17,S3826006C,DELEGACION PROVINCIAL HACIENDA,"Coste del Servicio de Junio de  2014, Convenio de Colaboració n Ayto con Agencia Tributaria",862.15
Fiestas del Municipio,338,22611,2014-07-18,G28029643,SOCIEDAD GENERAL DE AUTORES,"Actuacion en Recinto Ferial 26 -30/03/2014, Murgas, Comparsas , Grupos Orquestas etc",624.35
"Suministros de repuestos de maquinaria, utillaje",130,22111,2014-07-18,B38233912,SERVICIOS E LEON S.L.,Reparacion Vehiculo Honda 4880 -CFT,326.9
"Suministros de repuestos de maquinaria, utillaje",130,22111,2014-07-18,B38233912,SERVICIOS E LEON S.L.,Reparacion Vehiculo Honda 9720 -DVL,70.62
Informáticas,920,22203,2014-07-21,B64074230,UBILIBET S.L.,"Servicio Renovacion Dominio, O RG playadelasmericas.org",55
Plan de Promoción Económica,433,22614,2014-07-21,B38240933,IMPRENTA REYES S.L.,"Flyer Formato A5, Cartel A3, C artel Formato 180*100, Cartel Formato 125*90, Feria del Sald o las Galletas 2014",863.38
Estudios y Trabajos Técnicos,241,22706,2014-07-22,B38754800,"DIEGO GONZALEZ AUDITORES ASOCIADOS, S.L.","Informe de Auditoria Subvencio n al Ayuntamiento""Programa de Promocion de empleo 2013""",4255.43
Ordinario no inventariable,920,22000,2014-07-22,A28122125,CANON ESPAÑA S.A.,"3000 Black Label Zero, A4 80gr , Expte 3/14-CCSU",7168.8
Plan de Promoción Económica,433,22614,2014-07-22,B76603042,PARTY HOBBY S.L.,"Actividades Talleres Infantile s, Figuracion ,etc en Fiesta d el Saldo las Galletas 19/7/14",1605
Atenciones protocolarias y representativas,912,22601,2014-07-23,B38454781,DRAYCA SUR SERVICIOS S.L.,5 Cuadros Pintaderas Canarias,150
Locomoción de Miembros de Órganos de Gobierno,912,23100,2014-07-23,A10005510,VIAJES HALCON S.A.,"Viaje D. Antonio Sosa carballo , MD-Valladolid-MD, Congreso N acional de Parques y Jardines",63.5
Material informático no inventariable,920,22002,2014-07-24,B35307693,"QWERTY SISTEMAS, S.L.",HP PCM. HP 3year 24x7 HP PCM+t o IMC Std. (informática).,2776.65
Actividades Socioculturales,339,22609,2014-07-25,B76584283,"SHINE PSICOLOGIA Y COACHING, S.L.","6 Talleres"" Educacion en Valor es en el Deporte y Prevencion de la Violencia "" y ""Promocion  Salud y Bienestar Psicologica",642
Mantenimiento Cámaras de Seguridad,130,21305,2014-07-25,B82929951,TECHCO SEGURIDAD S.L.,Asistencia técnica revisar pro gramación guarderia El Fraile.  sistemas de seguridad.,52.6
Ordinario no inventariable,130,22000,2014-07-25,B38081790,THE RED PEN S.L.,50 Talonarios de 50-Parte Acci dente Atestados,508.25
Vestuario,920,22104,2014-07-25,B76546225,"MAC IMPRESIONS, S.L.",Polos Chicas Logo Ayuntamiento  -SAC,26.68
Material informático no inventariable,920,22002,2014-07-28,A82873662,"STULZ ESPAÑA, S.A.",1º Mantenimiento (OT:007467)26 /3/14,557.19
Material informático no inventariable,920,22002,2014-07-28,A82873662,"STULZ ESPAÑA, S.A.","2 Mantenimiento(OT:010137), 19 /6/14",557.19
Material informático no inventariable,920,22002,2014-07-28,B38581393,TECNISUR COPIADORAS S.L.,Facturacion Contador Konica Mi nolta Varias,8276.54
Productos alimenticios,912,22105,2014-07-28,A38010856,AGUAS DE VILAFLOR S.A.,Botellas de agua-Protocolo,183.96
Servicio de Vigilancia y Socorrismo en Playas,173,22736,2014-07-28,B62137252,PRO ACTIVA SERVEIS AQUATICS S.L.,"Servicio Julio 2014 Vigilancia , Salvamento y Asistencia en l as Playas.",15022.8
Atenciones protocolarias y representativas,912,22601,2014-07-29,B38454781,DRAYCA SUR SERVICIOS S.L.,3 Cuadros + Copias Fotos del R ey,240
Plan de Promoción Económica,433,22614,2014-07-29,G38098224,ASOCIACION DE BOMBEROS VOLUNTARIOS,Asistencia a Reten de la Fiest a de las Galletas el 14/06/201 4,250
Mantenimiento Cámaras de Seguridad,130,21305,2014-07-30,B82929951,TECHCO SEGURIDAD S.L.,Mano de obra revisión sistemas  de seguridad guarderia El Fra ile,64.2
Actividades Culturales y Deportivas,323,22609,2014-07-31,B38092151,TROPICAL BUS S.L.,"Transporte a Talleres de Inver sion linguistica e Inmersion L inguistica, Julio 2014",7462.35
Combustibles y carburantes,150,22103,2014-07-31,A38087367,CLAUDIO ALFONSO E HIJOS S.A.,"Carburante Vehículos Policía L ocal, mes Julio 2014.",221.83
Combustibles y carburantes,150,22103,2014-07-31,B38983318,"PICAMOLINOS, S.L.",Vales  Julio 2014 Carburante V ehiculos,1268.53
Combustibles y carburantes,912,22103,2014-07-31,B38381695,ANTONIA TACORONTE E HIJOS S.L.,Combustible y lavados Julio 20 14 Vehiculol,447.73
Combustibles y carburantes,912,22103,2014-07-31,B38983318,"PICAMOLINOS, S.L.",Vales  Julio 2014 Carburante V ehiculos,1268.53
Combustibles y carburantes,920,22103,2014-07-31,B38381695,ANTONIA TACORONTE E HIJOS S.L.,Combustible Julio 2014 Vehicul os Mantenimiento  y Motor Luz   Ayuntamiento,587.51
Combustibles y carburantes,920,22103,2014-07-31,B38381695,ANTONIA TACORONTE E HIJOS S.L.,Combustible y lavados Julio 20 14 Vehiculol,447.73
Combustibles y carburantes,920,22103,2014-07-31,B38983318,"PICAMOLINOS, S.L.",Vales  Julio 2014 Carburante V ehiculos,1268.53
Combustibles y carburantes,931,22103,2014-07-31,A38047684,ESTACION SURAMERICAS S.A.,Combustible Julio 2014 Vehicul os,2606.89
Combustibles y carburantes,931,22103,2014-07-31,B38983318,"PICAMOLINOS, S.L.",Vales  Julio 2014 Carburante V ehiculos,1268.53
Combustibles y carburantes.,130,22103,2014-07-31,A38047684,ESTACION SURAMERICAS S.A.,Combustible Julio 2014 Vehicul os,2606.89
Combustibles y carburantes.,130,22103,2014-07-31,A38087367,CLAUDIO ALFONSO E HIJOS S.A.,Carburante vehículo Policía Lo cal  3649GYF.Julio 2014.,43.99
Combustibles y carburantes.,130,22103,2014-07-31,A38087367,CLAUDIO ALFONSO E HIJOS S.A.,"Carburante Vehículos Policía L ocal, mes Julio 2014.",221.83
Combustibles y carburantes.,130,22103,2014-07-31,B38983318,"PICAMOLINOS, S.L.",Carburante Julio 2014 Vehículo s  Policía Local.,290.54
Combustibles y carburantes.,130,22103,2014-07-31,B38983318,"PICAMOLINOS, S.L.",Vales  Julio 2014 Carburante V ehiculos,1268.53
Combustibles y carburantes.,130,22103,2014-07-31,B76585801,"VILLASARA MULTISERVICIOS, S.L.",Combustible Julio 2014 Vehicul os,1202.14
Combustibles y carburantes.,170,22103,2014-07-31,B38983318,"PICAMOLINOS, S.L.",Vales  Julio 2014 Carburante V ehiculos,1268.53
Limpieza y Aseo,920,22700,2014-07-31,B35745926,RALONS SERVICIOS S.L.,"Servicio Extra Julio,Limpieza  Sala Anexa C.Civico Cabo Blan co",258.94
Limpieza y Aseo,920,22700,2014-07-31,B35745926,RALONS SERVICIOS S.L.,"Servicio Julio 2014, Limpieza C.Educativos y Dependencias Mu nicipales ,Expte 1/2010-casv",139226.13
Ordinario no inventariable,920,22000,2014-07-31,B38381653,SUMINISTRO DE OFICINA OFIPAPEL S.L.,Suministro de Oficina,61.65
Ordinario no inventariable,920,22000,2014-07-31,B38381653,SUMINISTRO DE OFICINA OFIPAPEL S.L.,Suministro Material de Oficina,186.65
Plan de Promoción Económica,433,22614,2014-07-31,B38621850,FERRETERIA HERMALAY S.L.,"Suministro Material de Ferrete ria, Arona en Colores Promocio n Ec.",123.59
Plan de Promoción Económica,433,22614,2014-07-31,B76559681,"BRUJULA SEGURIDAD,S.L.","Custodia Equipo Luces Programa  TV en Plaza del Cristo, Arona Convenio Marco Colaboracion Or ganismo y Ayuntamiento",333.84
Postales,920,22201,2014-07-31,A83052407,SOCIEDAD ESTATAL CORREOS Y TELEGRAFOS S.A.,Facturacion Julio 2014-Franque o Cartas,11979.24
"Prensa, revistas, libros y otros",912,22001,2014-07-31,A82779919,LOGINTEGRAL 2000 S.A.U.,"Renovacion Suscripcion EL MUND O, 31/7/14-30/07/15",530.71
Productos alimenticios,920,22105,2014-07-31,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",7 Cuotas Servicio,67.41
Publicidad y Propaganda,920,22602,2014-07-31,A38011623,CANARIA DE AVISOS S.A.,"Anuncio Apertura Tramite Infor macion Publica Documentacion C omplementaria Reparcelacion U, A.1 V.S.Lorenzo",179.76
Publicidad y Propaganda,920,22602,2014-07-31,A38011623,CANARIA DE AVISOS S.A.,"Anuncio Pliegos Kiosco en Para da de Guaguas, el 31/07/2014,D iario Avisos, pAG9",539.28
Publicidad y Propaganda,920,22602,2014-07-31,A38017844,EDITORIAL LEONCIO RODRIGUEZ S.A.,"Anuncio Recaudacion Suministro  3º Bimestre 2014, Contadores y Alcantarillado en el dia , 3 0/07/14, pag 11",192.6
Publicidad y Propaganda,920,22602,2014-07-31,A38615290,TELE CANAL 4 TENERIFE S.A.,RNDO. IMPORTE FACTURA Nº 2014- 0068.Difusión de actos del Ayu ntamiento de Arona mes Julio 2 014.,4815
Publicidad y Propaganda,920,22602,2014-07-31,B38530655,LA OPINION DE TENERIFE S.L.U.,"Anuncio en la opinion 22/7/14,  pag 15 ""Apertura info. public a , Doc.Complementaria reparce lacion UA1, V.S.Lorenzo",266.43
Publicidad y Propaganda,920,22602,2014-07-31,B38530655,LA OPINION DE TENERIFE S.L.U.,"Anuncio en la Opinion, 25/07/1 4, pag 17 ""Vehiculos con sinto mas de abandono""",621.67
"Reparación, man. y conserv. elementos de transport",912,21400,2014-07-31,B38381695,ANTONIA TACORONTE E HIJOS S.L.,Combustible y lavados Julio 20 14 Vehiculol,447.73
Señalizaciones Municipales,155,22613,2014-07-31,B38621850,FERRETERIA HERMALAY S.L.,Oxiron y Disolvente-Callejeros,80.44
Servicio de Atención Telefónica,925,22720,2014-07-31,B62916077,KONECTA BTO S.L.,"Servicio Julio 2014, Atencion Telefonica 010 del apoyo al se rvicio 092 de la policia local",44239.42
Servicio de Mantenimiento Eléctrico de Edificios,320,22716,2014-07-31,A28010478,IMESAPI S.A.,"Certificacion Julio 2014""Mante nimiento Inst. Ele. Espacios P ublicas y dependencias y Coleg ios Publicos",126601.48
Servicio de Mantenimiento Eléctrico de Edificios,342,22716,2014-07-31,A28010478,IMESAPI S.A.,"Certificacion Julio 2014""Mante nimiento Inst. Ele. Espacios P ublicas y dependencias y Coleg ios Publicos",126601.48
Servicio de Mantenimiento Eléctrico de Edificios,920,22716,2014-07-31,A28010478,IMESAPI S.A.,"Certificacion Julio 2014""Mante nimiento Inst. Ele. Espacios P ublicas y dependencias y Coleg ios Publicos",126601.48
Servicio Mantenimiento Alumbrado Público,165,22712,2014-07-31,A28010478,IMESAPI S.A.,"Certificacion Julio 2014""Mante nimiento Inst. Ele. Espacios P ublicas y dependencias y Coleg ios Publicos",126601.48
Servicio Mantenimiento Jardines Municipales,171,22741,2014-07-31,U76535509,UTE ZONAS VERDES ARONA,Servicio Julio 2014 Gestión Zo nas Verdes.,361217.14
Servicio Recogida de Papel Cartón,162,22710,2014-07-31,U38732830,UTE CLUSA-MCCSA,"Servicio Julio 2014 ,Recogida,  Transporte Residuos Papel y C arton en Arona",18244.66
Servicio Recogida RSU y Lim. Viaria,162,22709,2014-07-31,U76525534,UTE ARONA,Servicio Julio 2014 Gesti?n Re siduos.,563054.09
Servicio Recogida RSU y Lim. Viaria,162,22709,2014-07-31,U76525534,UTE ARONA,Servicio Julio 2014 Limpieza V iaria.,516947.2
Arrendamientos de Material de Transporte,132,20400,2014-08-01,A91001438,ALPHABET ESPAÑA FLEET MANAGEMENT S.A.U.,"Alquiler Agosto 2014, Renting  Vehiculos para la policia loca l, Expte 3/2009-CSPSU",11492.78
Asistencia Médico-Farmacéutica,221,16008,2014-08-01,A50004209,"DKV SEGUROS Y REASEGUROS, S.A.E,","Primas  mes Agosto 2014.(Póliz a de Salud), Expte 6/2012-CASV  Una vez descontado 10462,50   euros de nóminas.",16762.5
"Desinfectantes, raticidas",313,22115,2014-08-01,B38589842,MAXIMO PESTANO SANIDAD AMBIENTAL S.L.,"Servicio Agosto 2014, Desratiz acion y Desinsectacion",3852
Energía eléctrica,340,22100,2014-08-01,A81948077,ENDESA ENERGIA S.A.U.,"Suministro en Av. Arquitecto G omez Cuesta, Playa las America s, Periodo: Julio 2014, Codig  o Agrupacion 1486118",5254.92
Estudios y trabajos técnicos,336,22706,2014-08-01,B38460713,AREA RURAL TEGUESTE SLU,Guia interactiva de Recursos P atrimoniales de Arona Casco (B IC con la Categoría de Conjunt o Histórico),6674.65
Fiestas del Municipio,338,22611,2014-08-01,G76625797,ASOC. COMPARSA SUEÑOS DEL SUR,Actuaciones en Carnaval Arona 2014.,1400
Fiestas del Municipio,338,22611,2014-08-01,G76637586,CLUB DEPORTIVO SILVIA FERRERA,Actuaciones en Carnaval Arona 2014. Comparsa Playeritos y Ri tmo Sureño.,1700
"Jurídicos, Contenciosos",920,22604,2014-08-01,B76587641,SERVICIOS E INVERSIONES TF S.L.,Servicio de Vigilancia Julio 2 014-Sac,1464.98
Postales,920,22201,2014-08-01,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,RNDO. IMPORTE FACTURA Nº 14006 49.Multas,29.63
Postales,920,22201,2014-08-01,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,RNDO. IMPORTE FACTURA Nº 14006 50.Multas,8.13
Publicidad y Propaganda,920,22602,2014-08-01,B38855516,ESTUDIOS ABONA PRODUCCIONES S.L.,Noticias Municipales Julio 201 4.,1500
Servicio de mantenimiento de vías y edificios,155,22713,2014-08-01,U76507094,TINERFEÑA DE OBRAS PUBLICAS S.L. UTE ARONA,"Certificacion Agosto 2014""Mant enimiento y Conservacion Ed. M unicipales y Vias publicas""Exp te 7/09-CASV",19417.38
Servicio de mantenimiento de vías y edificios,155,22713,2014-08-01,U76507094,TINERFEÑA DE OBRAS PUBLICAS S.L. UTE ARONA,"Certificacion Julio 2014 Mante nimiento y Conservacion Ed. Mu nicipales y Vias, Expte 7/09-c asv",194173.79
Servicio de mantenimiento de vías y edificios,320,22713,2014-08-01,U76507094,TINERFEÑA DE OBRAS PUBLICAS S.L. UTE ARONA,"Certificacion Julio 2014 Mante nimiento y Conservacion Ed. Mu nicipales y Vias, Expte 7/09-c asv",194173.79
Servicio de mantenimiento de vías y edificios,330,22713,2014-08-01,U76507094,TINERFEÑA DE OBRAS PUBLICAS S.L. UTE ARONA,"Certificacion Julio 2014 Mante nimiento y Conservacion Ed. Mu nicipales y Vias, Expte 7/09-c asv",194173.79
Servicio de mantenimiento de vías y edificios,342,22713,2014-08-01,U76507094,TINERFEÑA DE OBRAS PUBLICAS S.L. UTE ARONA,"Certificacion Julio 2014 Mante nimiento y Conservacion Ed. Mu nicipales y Vias, Expte 7/09-c asv",194173.79
Servicio de mantenimiento de vías y edificios,920,22713,2014-08-01,U76507094,TINERFEÑA DE OBRAS PUBLICAS S.L. UTE ARONA,"Certificacion Julio 2014 Mante nimiento y Conservacion Ed. Mu nicipales y Vias, Expte 7/09-c asv",194173.79
Mantenimiento Integral del Litoral,173,22730,2014-08-02,U76534924,UTE LITORAL ARONA,"Servicio Agosto Gestion Litora l,  Expte 2/2010-Casp",30889.78
Recogida y acogida de animales.,313,22704,2014-08-02,N0044040D,AKTION TIER MENSCHEN FUR TIERE EV,"RNDO. IMPORTE FACTURA Nº 10/20 14.Acogida,mantenimiento, esta ncia y recogida  de perros 1/7 /14 a 31/7/14.",7945.56
Productos alimenticios,920,22105,2014-08-04,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","1 Cuota Servicio, 7 Botellones  Agua-Policia los Cristianos",56.88
Repar. mant. y cons. Mobiliario,130,21500,2014-08-04,S2817035E,CENTRO ESPAÑOL DE METROLOGIA,"Verificacion ,Reparacion  Etil ómetro Drager MK III ARWF- 011 5 de la Policía Local",451
Energía eléctrica,920,22100,2014-08-05,B82846825,ENDESA ENERGIA XXI S.L.,"Consumo , la Constitucion 2, E lectrobomba ayuntamiento de ar ona",37.63
Energía eléctrica,320,22100,2014-08-06,A81948077,ENDESA ENERGIA S.A.U.,"Facturacion Julio 2014, Codigo  Agrupacion 1461802",5504.46
Repar. mant. y cons. Mobiliario,931,21500,2014-08-06,B76595370,CERRAJERIA MUNDO LLAVE S.L.U.,"Dtm-Roll4b, Mando detumando , Programacion y Desplazamiento- Tesoreria",73.37
Vestuario,920,22104,2014-08-06,B76546225,"MAC IMPRESIONS, S.L.",Adquisición 4  Chalecos con im presión en vinilo para persona l mantenimiento.,49.44
Energía eléctrica,340,22100,2014-08-07,A81948077,ENDESA ENERGIA S.A.U.,"Facturacion Julio 2014, Codigo  AgrupaciON 1462050",51072.88
Energía eléctrica,920,22100,2014-08-07,A81948077,ENDESA ENERGIA S.A.U.,"Facturacion Julio 2014, Codigo  AgrupaciON 1462050",51072.88
Inversiones en la Red de Agua,452,60610,2014-08-07,A76624345,CANARAGUA CONCESIONES S.A.,Acometida Jardines  C/ Luis Dí az de Losada en Playa  de Las   Américas.,187.51
Mantenimiento Integral del Litoral,173,22730,2014-08-07,U76534924,UTE LITORAL ARONA,"Servicio Julio 2014 Gestion de l Litoral, Rectificativa de la  000011",37068.8
Postales,920,22201,2014-08-07,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,RNDO. IMPORTE FACTURA Nº 14006 77. Multas  612.,19.21
Actividades Socioculturales,339,22609,2014-08-08,G76530492,ASOCIACION SOCIOCULTURAL LOS ARTISTAS,"Organizacion Concierto Culturj oven ROCK&REGAE, 29/08/14",1350
Atenciones protocolarias y representativas,912,22601,2014-08-08,B38454781,DRAYCA SUR SERVICIOS S.L.,"100 Pintaderas canarias, 100 r osetas, 100 grabados",8000
Atenciones protocolarias y representativas,912,22601,2014-08-08,B38454781,DRAYCA SUR SERVICIOS S.L.,300 Vasos Whiski con anagrama,1080
Atenciones protocolarias y representativas,912,22601,2014-08-08,B38454781,DRAYCA SUR SERVICIOS S.L.,Cuadro Foto del Rey-Despacho J efe Policia,60
Energía eléctrica,150,22100,2014-08-08,B82846825,ENDESA ENERGIA XXI S.L.,"Facturacion Julio 2014, Codigo  Agrupacion  0651281.",273.48
Energía eléctrica,312,22100,2014-08-08,A81948077,ENDESA ENERGIA S.A.U.,"Facturacion Julio, Codigo Agru pacion 1462542.",4250.41
