#Aplicación Presupuestaria,Programa,,Fecha,CIF,Tercero,Concepto,Importe
Energía eléctrica,320,22100,2015-05-07,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,12.76
Energía eléctrica,920,22100,2015-05-07,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,975.08
Energía eléctrica,920,22100,2015-05-07,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,1117.84
Energía eléctrica,920,22100,2015-05-07,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1-Consumo P2                    P1-Consumo P3,368.11
Energía eléctrica,920,22100,2015-05-07,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1-Consumo P2                    P1-Consumo P3,502.83
Energía eléctrica,920,22100,2015-05-07,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1-Consumo P2                    P1-Consumo P3,553.33
Energía eléctrica,920,22100,2015-05-07,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1-Consumo P2                    P1-Consumo P3,619.32
Energía eléctrica,920,22100,2015-05-07,A81948077,ENDESA ENERGIA S.A.U.,Consumo P2         P1-Consumo P3                    P1-% DTO. C LIENTE,1023.65
Energía eléctrica,920,22100,2015-05-07,A81948077,ENDESA ENERGIA S.A.U.,FACTURACION DEL CONSUMO         P1,268.34
Energía eléctrica,920,22100,2015-05-07,B82846825,ENDESA ENERGIA XXI S.L.,Consumo P1         P1,72.36
Energía eléctrica,920,22100,2015-05-07,B82846825,ENDESA ENERGIA XXI S.L.,Consumo P1         P1,81.89
Energía eléctrica,920,22100,2015-05-07,B82846825,ENDESA ENERGIA XXI S.L.,Consumo P1         P1,622.03
Energía eléctrica,920,22100,2015-05-07,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,66.01
Energía eléctrica,920,22100,2015-05-07,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,221.23
Material Convenios Fomento Empleo,241,22612,2015-05-07,B38621850,FERRETERIA HERMALAY S.L.,"Adquisicion vestuario, botas y  guantes."" Empleo Social 2015"" .Concejalia Promocion Económic a y Empleo.",758.29
Material informático no inventariable,920,22002,2015-05-07,A08747388,SEMICONDUCTORES Y SISTEMAS S.A.,Autodesk AutoCAD Map 3D Comme cial Maintenance Subscription (1 year) (Renewal),6105
Plan de Promoción Económica,433,22614,2015-05-07,B38492237,HIT RADIO CANARIAS S.L.,"40 Cuñas, Campaña Dia de la Ma dre - Promocion Ec",342.4
Combustibles y carburantes,912,22103,2015-05-08,B38381695,ANTONIA TACORONTE E HIJOS S.L.,Carburante Abril 2015- Vehicul os Alcaldia,358.31
Combustibles y carburantes,920,22103,2015-05-08,B38381695,ANTONIA TACORONTE E HIJOS S.L.,Carburante Abril 2015- Vehicul os Alcaldia,358.31
Energía eléctrica,340,22100,2015-05-08,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,13.18
Energía eléctrica,340,22100,2015-05-08,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,15.43
Energía eléctrica,920,22100,2015-05-08,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1-Consumo P2                    P1-Consumo P3,405.67
Energía eléctrica,920,22100,2015-05-08,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1-Consumo P2                    P1-Consumo P3,564.81
Energía eléctrica,920,22100,2015-05-08,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1-Consumo P2                    P1-Consumo P3,666.12
Energía eléctrica,920,22100,2015-05-08,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1-Consumo P2                    P1-Consumo P3,1070.83
Energía eléctrica,920,22100,2015-05-08,A81948077,ENDESA ENERGIA S.A.U.,Consumo P2         P1-Consumo P3                    P1-% DTO. C LIENTE,686.94
Energía eléctrica,920,22100,2015-05-08,A81948077,ENDESA ENERGIA S.A.U.,Consumo P2         P1-Consumo P3                    P1-% DTO. C LIENTE,968.8
Energía eléctrica,920,22100,2015-05-08,A81948077,ENDESA ENERGIA S.A.U.,FACT LECT. REALES PUNTA         P1,1050.88
Energía eléctrica,920,22100,2015-05-08,B82846825,ENDESA ENERGIA XXI S.L.,Consumo P1         P1,96.88
Energía eléctrica,920,22100,2015-05-08,B82846825,ENDESA ENERGIA XXI S.L.,Consumo P1         P1,246.24
Energía eléctrica,920,22100,2015-05-08,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,260.28
Festejos y Actos Populares,338,22610,2015-05-08,G28029643,SOCIEDAD GENERAL DE AUTORES,"Recinto ferial de los Cristian os , Derechos Autor, act.gala   13,14 y 15 de Marzo 2015 , Carnaval los Cristianos",523.23
"Jurídicos, Contenciosos",920,22604,2015-05-08,B38568499,ANA MAR ASESORES S.L.,"Direccion Letrada Derivación R espo. Solidaria, igi construc  ciones carolina , Expte 6/14-* CMSV, Ex.21/14varios",12840
Postales,920,22201,2015-05-08,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,Servicio Correpondencia 08/5/1 5- Multas 679,0.59
Postales,920,22201,2015-05-08,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,Servicio Correspondencia 08/05 /15-Multas 675,13.33
Postales,920,22201,2015-05-08,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 08/5/ 15, Multas",11.4
Postales,920,22201,2015-05-08,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 08/5/ 15, Mutlas 680",22.98
Tributos Estatales,931,22500,2015-05-08,S2800214E,"MINISTERIO DE INDUSTRIA, TURISMO Y COMERCIO","Tasa Dominio Publico Radioelec trico ,Periodo 01/01/15-28/07/ 2015, transmision datos radio  FM107. 4",100
Actividades Socioculturales,3271,22609,2015-05-09,B38443073,YAIZA BUS S.L.,"Traslado de 59 Del Fraile A la s lajas y regreso-II Encuentro  Juvenil las Lajas, Hagamoslo  Juntos",309
Actividades Socioculturales,3271,22609,2015-05-09,B38780631,CATERING COMIDAS LA UNION S.L.,"60 Encuentro Juvenil Parque Re creativo las lajas Vilaflor, I I Encuentro hagamoslo juntos",642
Mantenimiento Aire Acondicionado,920,21304,2015-05-09,B38929592,"SOLCLIMA DISTRIBUCIONES TENERIFE SUR, S.L.","Servicios Viajes y Gastos pcb Placa base assy w/simm y Parte  Rhodes mini piezas 7, CPD C.C ultural las galletas",2209.55
Combustibles y carburantes,920,22103,2015-05-11,A50878842,AULOCE S.A.,SUS ESPUBLICO: CONTENIDO EDIT RIAL ANUAL RENOVACION 2015.,2024.11
Energía eléctrica,150,22100,2015-05-11,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1-Consumo P2                    P1-Consumo P3,179.05
Energía eléctrica,150,22100,2015-05-11,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1-Consumo P2                    P1-Consumo P3,192.03
Energía eléctrica,150,22100,2015-05-11,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1-Consumo P2                    P1-Consumo P3,205.02
Energía eléctrica,150,22100,2015-05-11,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1-Consumo P2                    P1-Consumo P3,247.74
Energía eléctrica,150,22100,2015-05-11,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1-Consumo P2                    P1-Consumo P3,299.13
Energía eléctrica,150,22100,2015-05-11,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1-Consumo P2                    P1-Consumo P3,558.55
Energía eléctrica,150,22100,2015-05-11,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1-Consumo P2                    P1-Consumo P3,621.12
Energía eléctrica,150,22100,2015-05-11,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1-Consumo P2                    P1-Consumo P3,1241.42
Energía eléctrica,150,22100,2015-05-11,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1-Consumo P2                    P1-Consumo P3,1946.87
Energía eléctrica,150,22100,2015-05-11,A81948077,ENDESA ENERGIA S.A.U.,FACTURACION DEL CONSUMO         P1,285.19
Energía eléctrica,320,22100,2015-05-11,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1-Consumo P2                    P1-Consumo P3,227.31
Energía eléctrica,320,22100,2015-05-11,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1-Consumo P2                    P1-Consumo P3,344.91
Energía eléctrica,340,22100,2015-05-11,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1-Consumo P2                    P1-Consumo P3,502.99
Energía eléctrica,920,22100,2015-05-11,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1-Consumo P2                    P1-Consumo P3,214.46
Energía eléctrica,920,22100,2015-05-11,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1-Consumo P2                    P1-Consumo P3,548.57
Energía eléctrica,920,22100,2015-05-11,A81948077,ENDESA ENERGIA S.A.U.,Consumo P2         P1-Consumo P3                    P1-% DTO. C LIENTE,409.46
Energía eléctrica,920,22100,2015-05-11,A81948077,ENDESA ENERGIA S.A.U.,Consumo P2         P1-Consumo P3                    P1-% DTO. C LIENTE,517.52
Energía eléctrica,920,22100,2015-05-11,A81948077,ENDESA ENERGIA S.A.U.,Consumo P2         P1-Consumo P3                    P1-% DTO. C LIENTE,555.62
Energía eléctrica,920,22100,2015-05-11,A81948077,ENDESA ENERGIA S.A.U.,Consumo P2         P1-Consumo P3                    P1-% DTO. C LIENTE,1178.16
Energía eléctrica,920,22100,2015-05-11,A81948077,ENDESA ENERGIA S.A.U.,Consumo P2         P1-Consumo P3                    P1-% DTO. C LIENTE,1338.1
Energía eléctrica,920,22100,2015-05-11,B82846825,ENDESA ENERGIA XXI S.L.,Consumo P1         P1,61.26
Energía eléctrica,920,22100,2015-05-11,B82846825,ENDESA ENERGIA XXI S.L.,Consumo P1         P1,144.66
Energía eléctrica,920,22100,2015-05-11,B82846825,ENDESA ENERGIA XXI S.L.,FACT. ENER ENTRE REALES         P1,54.19
Energía eléctrica,920,22100,2015-05-11,B82846825,ENDESA ENERGIA XXI S.L.,FACT. ENER ENTRE REALES         P1,1017.99
Energía eléctrica,920,22100,2015-05-11,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,282.87
Energía eléctrica,920,22100,2015-05-11,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,499.97
Energía eléctrica,920,22100,2015-05-11,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,1089.41
Energía eléctrica,920,22100,2015-05-11,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,1829.95
Ordinario no inventariable,130,22000,2015-05-11,B38081790,THE RED PEN S.L.,20 Talonarios ley seguridad 4/ 2015- Numerado; 50 Talonarios Estupefacientes - Policia Loca l,428
Repar. mant. y cons. Equipos para procesos informa,920,21600,2015-05-11,A82873662,"STULZ ESPAÑA, S.A.",Tasa Gas Refrigerante R-407C.A ño  2015(1 kg),33.47
"Reparación, man. y conserv. elementos de transport",912,21400,2015-05-11,B38233912,SERVICIOS E LEON S.L.,Adquisición Batería 2732CFT.,94.86
"Reparaciones, man. y conserv. Edificios y otras co",920,21200,2015-05-11,B38621850,FERRETERIA HERMALAY S.L.,Adquisicion Cerradura Buzon L.  Curva. Policia Local.,18.73
Energía eléctrica,150,22100,2015-05-12,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,309.1
Energía eléctrica,150,22100,2015-05-12,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,822.82
Energía eléctrica,320,22100,2015-05-12,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1. 08/04/2015 al 11/0 5/2015.PS. Pérez Valero Colegi o  Los Cristianos.,916.29
Energía eléctrica,920,22100,2015-05-12,A81948077,ENDESA ENERGIA S.A.U.,Consumo 07/04/2015 a 07/05/201 5.,398.22
Energía eléctrica,920,22100,2015-05-12,A81948077,ENDESA ENERGIA S.A.U.,Consumo 09/04/15 al 08/05/2015 Mazapé 13 Bomba Vento.,202.82
Energía eléctrica,920,22100,2015-05-12,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,1584.06
Energía eléctrica,920,22100,2015-05-12,A81948077,ENDESA ENERGIA S.A.U.,FACTURACION DEL CONSUMO   AVENIDA LOS PLAYEROS      P1  2-FTE C.CULTURL LOS CRISTIANO S 09/04/15 a 11/05/15.,883.46
Energía eléctrica,920,22100,2015-05-12,B82846825,ENDESA ENERGIA XXI S.L.,Consumo P1         P1,62.55
Energía eléctrica,920,22100,2015-05-12,B82846825,ENDESA ENERGIA XXI S.L.,Consumo P1         P1,751.98
Energía eléctrica,920,22100,2015-05-12,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,1064.97
Energía eléctrica,920,22100,2015-05-12,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,1236.24
Energía eléctrica,920,22100,2015-05-12,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,1476.21
Material Convenios Fomento Empleo,241,22612,2015-05-12,B38621850,FERRETERIA HERMALAY S.L.,Materiales para Programa Extra ordinario Bianual de Empleo So cial 2015- Promoc .Ec,2824.59
Plan de Promoción Económica,433,22614,2015-05-12,B38240933,IMPRENTA REYES S.L.,"Adquisición Carteles día  del Padre,  Muestra Gastronómica y  Remate Final 2015.Concejalía  Promoción Económica.",955.32
Seguros,221,16205,2015-05-12,A28725331,MAPFRE SEGUROS DE EMPRESA S.A.,RESPONSABILIDAD CIVIL GENERAL 'PýLIZA':0961470088514 'RECIB ':626863699,35614.77
Servicio de Vigilancia y Socorrismo en Playas,1721,22736,2015-05-12,B62137252,PRO ACTIVA SERVEIS AQUATICS S.L.,"Servicio Abril 2015-Vigilancia  , Salvamento y Asistencia dl  e Litoral",12326.4
"Suministros de repuestos de maquinaria, utillaje",130,22111,2015-05-12,B38233912,SERVICIOS E LEON S.L.,Adquisición Batería TF0072BT.,105.72
Elecciones,920,22605,2015-05-13,B38240933,IMPRENTA REYES S.L.,PAPELETAS ELECTORALES EN PAPE  DE 70 GRS IMPRESAS A 1/'O TI TAS DE 10.5X29.7 CMS ELECCION S MUNICIPALES 12 MODELOS,6355.8
Energía eléctrica,150,22100,2015-05-13,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,290.3
Energía eléctrica,320,22100,2015-05-13,A81948077,ENDESA ENERGIA S.A.U.,Consumo 08/04/2015 a 10/05/201 5.Cl. La Jara 17 Colegio egb L a Camella.ewgio,613.29
Energía eléctrica,920,22100,2015-05-13,A81948077,ENDESA ENERGIA S.A.U.,AVENIDA JUAN CARLOS I-PLAZA LO S CRISTIANOS.10/04/1        P1 5 a 12/05/15.,331.11
Energía eléctrica,920,22100,2015-05-13,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,435.1
Energía eléctrica,920,22100,2015-05-13,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1 09/04/2015 AL 12/05 /2015.Dulce María Lo        P1 inaz. FTE. nº 2 Los Cristiano  s TF,843.57
Energía eléctrica,920,22100,2015-05-13,A81948077,ENDESA ENERGIA S.A.U.,Consumo P2. 09/04/2015 a 11/05 /2015 Hermano Pedro         P1 D15 Esc.Idiomas G. Consumidor   Cristianos TF,798.21
Energía eléctrica,920,22100,2015-05-13,A81948077,ENDESA ENERGIA S.A.U.,Consumo P2RESIDENCIAL TIGADAY  1-TIGADAY VVDA.CHAYO        P1 FA TF 09/04/15 al 11/05/2015.,486.61
Energía eléctrica,920,22100,2015-05-13,B82846825,ENDESA ENERGIA XXI S.L.,Consumo P1         P1,44.13
Energía eléctrica,920,22100,2015-05-13,B82846825,ENDESA ENERGIA XXI S.L.,FACT LECT. REALES PUNTA         P1,55.47
Energía eléctrica,920,22100,2015-05-13,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,263.09
Energía eléctrica,920,22100,2015-05-13,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,1252.66
Energía eléctrica,920,22100,2015-05-13,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,1304.71
Energía eléctrica,920,22100,2015-05-13,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,1568.93
Energía eléctrica,920,22100,2015-05-13,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,2217.14
"Jurídicos, Contenciosos",920,22604,2015-05-13,B38568499,ANA MAR ASESORES S.L.,"Ultimo pago  ,Proc.Or 451/2014 , Juzg nº 5 Arona, Expte 12/14 -CMSV",2996
Material Convenios Fomento Empleo,241,22612,2015-05-13,B38534392,TINTORERIA LOS PRINCIPES S.L.,"Limpieza de Manteles y servill etas-, plan empleo social 2014 -2015",24.15
Material Convenios Fomento Empleo,241,22612,2015-05-13,B38621850,FERRETERIA HERMALAY S.L.,Suministro Uniformidad para Au xiliar Mecanico Convenio 46.29 6.364D,74.01
Primas de seguros,150,22401,2015-05-13,W0072130H,ZURICH SEGUROS,"Veh,Manteni-8867FLY,9021BWD, Veh,Edif E9914bfp,R3422BCH,TF6 838AK,5224DHJ, Urb. Inspección",3933.91
Primas de seguros,912,22401,2015-05-13,W0072130H,ZURICH SEGUROS,"Vehiculos Alcaldia, 2744CSJ,  6139BDC, 5325DCC",2337.01
Primas de seguros resto,929,22402,2015-05-13,W0072130H,ZURICH SEGUROS,"Vehiculo Inspeccion Rentas  ""8685FGF""",333
Primas de seguros vehículos municipales.,170,22401,2015-05-13,W0072130H,ZURICH SEGUROS,"Vehiculo Medioambiente  9297FT P, TF6942CB",1014
Primas de seguros vehículos municipales.,920,22401,2015-05-13,W0072130H,ZURICH SEGUROS,"Flota,0305FCH Informatica,0545 CZD Notificador, 3463DHH-Notif icador, TF1852CC Serv,Gral, 5224CSC-Serv.Gral",2240
Repar. conserv. y man. elementos de transporte,132,21400,2015-05-13,B35599323,"INTERINSULAR DE LUBRICANTES, S.L.",1 GTX 10W/40- Policia local,681.07
Actividades Partiicipación Ciudanana,924,22609,2015-05-14,B76651116,"JUGUEMOS UNIDOS EXPERIMENTANDO GRANDES AVENTURAS, S.L.","Acciones realizadas entre 01 d e Abril -30 Abril 2015. Progra ma ""Mi Municipio, Mi Compromis o"". Participación Ciudadana.",2266.32
Actividades Partiicipación Ciudanana,924,22609,2015-05-14,B76651116,"JUGUEMOS UNIDOS EXPERIMENTANDO GRANDES AVENTURAS, S.L.","Acciones realizadas entre el 0 1 de Marzo - 31 de Marzo de 20 15. ""Mi Municipio, Mi Compromi so"". Participación Ciudadana.",2266.31
Actividades Partiicipación Ciudanana,924,22609,2015-05-14,B76651116,"JUGUEMOS UNIDOS EXPERIMENTANDO GRANDES AVENTURAS, S.L.","Acciones realizadas entre el 3 0 de Enero-28 febrero 2015 Pro grama A ""Mi Municipio, Mi Comp romiso""Participación Ciudadana",2266.31
Actividades Socioculturales,3271,22609,2015-05-14,B38757159,HERNANDEZ CABRERA E HIJAS S.L.,Adquisicion material de ferret eria. Concejalia de Juventud,87.81
Energía eléctrica,320,22100,2015-05-14,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1.13/04/2015 al 13/05 /2015.JUPITER -FTE.N        P1 º 5 COLEGIO 9 UD LAS ROSAS TF,433.36
Energía eléctrica,340,22100,2015-05-14,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,1093.5
Energía eléctrica,920,22100,2015-05-14,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1 10/04/15 AL 13/05/1 5.BARRANQUILLO 2-JTO        P1  IGLESIA LOS CRISTIANOS TF,365.7
Energía eléctrica,920,22100,2015-05-14,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1.10/04/2015 al 13/05 /2015 JUAN REVERON SI       P1 ERRA-ESQ.PS AQUIL LOS CRISTIA  NOS TF,523.43
Energía eléctrica,920,22100,2015-05-14,A81948077,ENDESA ENERGIA S.A.U.,Consumo P2         P1,342.27
Energía eléctrica,920,22100,2015-05-14,A81948077,ENDESA ENERGIA S.A.U.,Consumo P2.09/04/2015 al 08/05  /2015 Residencial TI       P1 GADAY 2 tTIGADAY AºPº E.T.Nº   2 CHAYOFA TF,324.38
Energía eléctrica,920,22100,2015-05-14,B82846825,ENDESA ENERGIA XXI S.L.,Consumo P1         P1,103.77
Energía eléctrica,920,22100,2015-05-14,B82846825,ENDESA ENERGIA XXI S.L.,Consumo P1         P1,162.02
Energía eléctrica,920,22100,2015-05-14,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,227.68
Publicidad y Propaganda,920,22602,2015-05-14,B38855516,ESTUDIOS ABONA PRODUCCIONES S.L.,Produccion y Difusion Televisi va de Noticias Municipales de Arona mes Abril.,1500
Tributos Estatales,931,22500,2015-05-14,S2800214E,"MINISTERIO DE INDUSTRIA, TURISMO Y COMERCIO","Tasa Dominio Publico Radioelec trico ,Periodo 01/01/15-31/12/ 15, transmision datos radio en laces fraile,arona,galletas,",3554.42
Energía eléctrica,150,22100,2015-05-15,A81948077,ENDESA ENERGIA S.A.U.,Consumo P114/04/2015 al 14/05/ 2015.AVENIDA MARITIM        P1 A 22-C CULTURAL LOC.1 LAS GALL ETAS TF,682.16
Energía eléctrica,320,22100,2015-05-15,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,561.74
Energía eléctrica,920,22100,2015-05-15,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,292.6
Energía eléctrica,920,22100,2015-05-15,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,618.04
Energía eléctrica,920,22100,2015-05-15,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1.VARADERO 5-AYTO.ARO NA g.CONSUMIDOR LAS G       P1 ALLETAS,471.26
Energía eléctrica,920,22100,2015-05-15,A81948077,ENDESA ENERGIA S.A.U.,Consumo P2         P1,651.52
Energía eléctrica,920,22100,2015-05-15,A81948077,ENDESA ENERGIA S.A.U.,Consumo P2. 10/04/2015 al 13/0 5/2015.PS TRASMALLO-        P1 AYTO ARONA G. CONSUMIDOR CRIS  TIANOS TF,799.37
Energía eléctrica,920,22100,2015-05-15,A81948077,ENDESA ENERGIA S.A.U.,Consumo P2.AVENIDA DE AMSTERDA M-403340 LOS CRISTIA        P1 NOS TF,716.97
Energía eléctrica,920,22100,2015-05-15,B82846825,ENDESA ENERGIA XXI S.L.,Consumo P1         P1,264.51
Energía eléctrica,920,22100,2015-05-15,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,367.11
Informáticas,920,22203,2015-05-15,A62186556,VODAFONE ONO S.A.U.,Internet Garantizado 30M - Or gen: ARONA,2720.67
Informáticas,920,22203,2015-05-15,A62186556,VODAFONE ONO S.A.U.,Internet Garantizado Otros Ac esos 64 Kbps - Origen: ARONA,1123.5
Postales,920,22201,2015-05-15,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 15/5/ 15, Multas 682",61.34
Postales,920,22201,2015-05-15,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 15/5/ 15, Rentas 681",62.95
Productos alimenticios,920,22105,2015-05-15,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",1 Cuota Servicio-Cabo Blanco,22.88
Publicidad y Propaganda,920,22602,2015-05-15,A38011623,CANARIA DE AVISOS S.A.,"Publicidad Tamaño 5*5, 08/05/1 5, pag 24 "" Bando Fiesta honor  Virgen de Fatima""",449.4
Repar. conserv. y man. elementos de transporte,132,21400,2015-05-15,B38963542,LLAVE SUR Y LEGARA S.L.,Reparación Cilindro y Copia de  Llave- POLICIA LOCAL,42.8
Repar. mant. y cons. Mobiliario,130,21500,2015-05-15,B76102466,"GRUPO CEPERIC16, S.L.L.",Gastos Suplidos Adquisicion de  2 Lupas Espectral SC 200+1 Vi deo Plug and Play sc 500- Dete ccion falsedad  documental.,258.94
"Reparación, man. y conserv. elementos de transport",150,21400,2015-05-15,B38794327,AUTO GRUAS CABELLO S.L.U.,"Traslado del Montacarga "" Aire  Acondicionado"" desde Cabo Bla nco a Plaza Arona y Regreso 11 /05/15-13/05/15 y 13/05/15-14/",297.13
"Reparaciones, man. y conserv. Edificios y otras co",920,21200,2015-05-15,B38889911,"INVERSIONES MARTIN DORTA, S.L.","Copia Llaves, Bridas, Portaeti quetas, Anilla llaver- Eleccio nes 2015",11.65
Servicio Recogida de Papel Cartón,1621,22710,2015-05-15,U38732830,UTE CLUSA-MCCSA,Servicio Enero 2015-Recogida P apel    Carton,23698.42
Servicio Recogida de Papel Cartón,1621,22710,2015-05-15,U38732830,UTE CLUSA-MCCSA,"Servicio Febrero 2015, Recogid a papel carton",21107.39
Servicio Recogida de Papel Cartón,1621,22710,2015-05-15,U38732830,UTE CLUSA-MCCSA,Servicio Marzo 2015- Recogida  Papel Carton,24670.36
"Suministros de repuestos de maquinaria, utillaje",130,22111,2015-05-15,B38342424,NEUMATICOS ATLANTICO S.L.,Adquisición 4 Neumáticos 8838B VY.,200.44
Telefónicas,920,22204,2015-05-15,A62186556,VODAFONE ONO S.A.U.,Internet Garantizado 30M - Or gen: ARONA,2720.67
Energía eléctrica,150,22100,2015-05-18,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,377.81
Energía eléctrica,320,22100,2015-05-18,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,1077.22
Energía eléctrica,320,22100,2015-05-18,A81948077,ENDESA ENERGIA S.A.U.,FACTURACION DEL CONSUMO         P1,85.3
Energía eléctrica,320,22100,2015-05-18,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,613.77
Energía eléctrica,320,22100,2015-05-18,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,1084.7
Energía eléctrica,920,22100,2015-05-18,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,450.71
Energía eléctrica,920,22100,2015-05-18,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,584.71
Energía eléctrica,920,22100,2015-05-18,A81948077,ENDESA ENERGIA S.A.U.,Consumo P1         P1,1040.93
Energía eléctrica,920,22100,2015-05-18,A81948077,ENDESA ENERGIA S.A.U.,Consumo P2         P1,567.83
Energía eléctrica,920,22100,2015-05-18,B82846825,ENDESA ENERGIA XXI S.L.,Consumo P1         P1,122.19
Energía eléctrica,920,22100,2015-05-18,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,26.57
Energía eléctrica,920,22100,2015-05-18,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,89.07
Energía eléctrica,920,22100,2015-05-18,B82846825,ENDESA ENERGIA XXI S.L.,FACTURACION DEL CONSUMO         P1,2076.44
Energía eléctrica,920,22100,2015-05-18,B82846825,ENDESA ENERGIA XXI S.L.,Potencia         P1,49.05
Plan de Promoción Económica,433,22614,2015-05-18,B38240933,IMPRENTA REYES S.L.,1000 Flyer Formato 15x21 CM Im presion A 4/4 Tintas en Papel Estucado .Menu Futurismo. Conc ejalia Promocion Economica,250.65
Plan de Promoción Económica,433,22614,2015-05-18,B38240933,IMPRENTA REYES S.L.,"200 Cartel  formato, dia de la  madre y   8100 Tickets. Conce jalia Promocion Economica y Em pleo",1077.99
